Fast,Slow,Signal,Final,Trades,Momentum %,Swing %
8,26,6,995076.5,1272,31.1,68.9
12,20,12,991111.75,1279,32.2,67.8
8,32,6,990787.25,1263,31.6,68.4
16,20,9,989961.25,1268,32.0,68.0
16,20,12,989074.0,1283,32.1,67.9
8,20,12,988841.5,1263,32.1,67.9
16,26,9,988224.25,1291,31.9,68.1
12,26,12,988162.0,1289,31.7,68.3
8,26,9,988112.0,1255,31.9,68.1
8,20,6,987671.0,1291,31.7,68.3
16,20,6,986737.25,1251,31.8,68.2
12,26,6,986581.25,1254,31.9,68.1
12,32,6,983896.75,1272,32.4,67.6
12,32,12,982497.0,1284,31.9,68.1
8,32,9,982134.0,1268,32.3,67.7
12,20,9,981853.75,1297,32.2,67.8
16,32,12,981687.0,1266,31.8,68.2
16,26,12,981601.75,1275,31.9,68.1
12,26,9,981113.0,1276,31.8,68.2
16,32,9,977979.0,1289,32.0,68.0
16,26,6,977427.5,1268,32.6,67.4
12,32,9,975247.75,1277,31.8,68.2
8,20,9,974817.25,1279,31.7,68.3
12,20,6,972939.0,1276,31.7,68.3
16,32,6,972197.75,1277,32.3,67.7
8,26,12,971574.75,1271,32.5,67.5
8,32,12,970025.75,1264,32.0,68.0
