K,D,OB,OS,Final,Trades,Momentum %,Swing %
14,7,70,10,1024638.0,606,34.5,65.5
14,7,80,10,1023872.75,397,37.5,62.5
21,5,70,20,1021976.75,933,33.7,66.3
21,5,80,10,1020057.0,579,36.4,63.6
21,7,80,10,1018641.25,470,37.4,62.6
21,5,70,10,1017673.0,733,34.7,65.3
14,5,70,20,1015731.25,876,34.2,65.8
14,5,80,20,1013843.25,749,35.9,64.1
21,5,80,20,1013572.75,807,35.2,64.8
5,5,80,20,1013445.0,410,39.5,60.5
21,7,70,10,1012862.5,633,37.0,63.0
5,7,90,30,1012197.25,316,35.1,64.9
10,3,70,10,1011566.0,753,36.3,63.7
5,5,90,20,1011239.0,231,37.7,62.3
5,7,90,20,1011178.75,95,42.1,57.9
14,5,70,10,1009721.0,704,35.2,64.8
14,7,90,10,1009474.0,123,41.5,58.5
14,7,80,20,1008960.0,592,36.3,63.7
10,5,70,20,1008680.25,767,34.3,65.7
14,7,80,30,1008060.25,777,35.6,64.4
5,5,70,20,1007688.0,637,36.7,63.3
10,7,70,10,1006861.5,572,35.7,64.3
5,7,80,30,1005990.25,400,38.2,61.8
21,7,80,20,1004747.25,690,35.9,64.1
14,7,70,20,1004303.75,762,34.6,65.4
10,7,90,10,1003896.75,84,44.0,56.0
10,5,70,30,1003786.75,920,33.2,66.8
5,7,80,20,1003777.75,201,45.3,54.7
21,7,80,30,1003773.5,854,35.5,64.5
5,5,90,10,1003636.25,55,45.5,54.5
10,3,70,20,1003278.75,883,35.2,64.8
21,5,70,30,1002530.5,1022,34.0,66.0
5,5,80,10,1001182.25,273,41.8,58.2
10,5,70,10,1001001.75,654,34.9,65.1
14,7,70,30,1000857.75,898,35.0,65.0
21,7,70,20,1000745.75,815,35.6,64.4
10,3,90,10,1000641.75,317,44.2,55.8
5,3,90,20,1000596.5,483,41.4,58.6
5,5,90,30,1000139.75,489,35.6,64.4
21,5,80,30,1000032.75,933,34.7,65.3
21,3,70,10,1000007.5,826,34.4,65.6
14,5,80,10,999553.75,534,38.2,61.8
5,7,90,10,999511.75,12,41.7,58.3
5,3,90,10,999443.0,206,48.1,51.9
10,5,90,10,999215.0,171,43.3,56.7
10,7,90,30,999078.75,538,34.2,65.8
10,7,90,20,998996.5,282,35.5,64.5
5,5,70,10,998984.75,552,36.2,63.8
10,7,70,20,998823.0,698,35.5,64.5
14,5,70,30,998231.5,1001,33.9,66.1
5,3,70,10,998215.5,700,37.7,62.3
5,7,70,20,998124.5,461,39.3,60.7
5,7,70,30,998094.5,599,37.4,62.6
10,3,90,20,997511.75,588,37.2,62.8
14,3,70,10,997172.25,797,33.1,66.9
21,3,90,10,997043.25,481,39.9,60.1
10,7,70,30,995816.0,841,35.3,64.7
10,5,80,20,995752.5,635,36.1,63.9
10,5,90,20,995369.0,413,35.1,64.9
21,7,70,30,995189.25,956,34.8,65.2
14,3,90,10,995035.25,400,40.2,59.8
10,7,80,10,995006.75,341,39.6,60.4
14,5,90,10,994930.0,230,42.2,57.8
21,7,90,10,994522.75,186,43.0,57.0
5,3,70,20,994215.0,798,37.8,62.2
14,5,80,30,994169.5,912,35.3,64.7
21,5,90,10,993749.75,287,39.4,60.6
21,3,70,20,992806.25,997,33.3,66.7
21,3,80,10,992596.5,741,35.8,64.2
10,3,70,30,992049.25,992,34.8,65.2
14,5,90,20,991905.75,500,35.2,64.8
10,3,80,10,991791.25,602,37.9,62.1
5,3,80,20,991590.5,663,40.7,59.3
5,5,80,30,991546.25,610,37.5,62.5
5,3,80,10,991338.0,496,40.9,59.1
14,7,90,20,991264.75,351,35.9,64.1
14,7,90,30,991187.5,602,34.7,65.3
10,5,80,10,991106.25,464,39.0,61.0
5,7,80,10,991009.5,130,45.4,54.6
21,5,90,20,990517.25,563,35.3,64.7
14,3,70,20,989333.0,979,33.4,66.6
5,7,70,10,987890.5,415,38.1,61.9
14,3,90,20,987345.5,693,36.1,63.9
10,7,80,30,986492.75,713,35.6,64.4
21,3,90,20,986415.25,728,36.1,63.9
21,3,70,30,985942.75,1045,33.0,67.0
10,7,80,20,985209.25,512,36.5,63.5
21,3,90,30,985064.5,818,35.8,64.2
10,3,80,20,984421.5,798,35.7,64.3
14,3,80,10,982326.75,673,36.0,64.0
21,7,90,30,980694.0,648,35.2,64.8
5,5,70,30,979743.25,772,36.1,63.9
14,3,80,20,978933.25,904,35.1,64.9
21,7,90,20,978637.0,434,36.9,63.1
14,5,90,30,978296.25,731,34.5,65.5
14,3,90,30,978015.75,844,35.5,64.5
14,3,70,30,977863.75,1059,34.0,66.0
10,3,90,30,977772.5,775,36.3,63.7
21,5,90,30,976784.5,747,35.1,64.9
10,5,80,30,976674.25,809,35.6,64.4
21,3,80,20,975796.0,942,34.1,65.9
10,5,90,30,975365.25,650,34.2,65.8
5,3,90,30,974696.5,689,36.6,63.4
21,3,80,30,972129.75,986,34.6,65.4
14,3,80,30,969106.0,1018,34.6,65.4
10,3,80,30,967019.75,932,35.4,64.6
5,3,80,30,962125.75,819,37.6,62.4
5,3,70,30,953085.0,911,36.0,64.0
